CRN|Course Code|Course Number|Course Name|Academician|Exam Type|Exam Location|Day|Time|Date|Branch Code
30325|DUI|251E|Meteorology|Ayşe Nak|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Perşembe|15:00-17:00|21 Ağustos 2025|DUI
30326|YZV|104E|Int.toPrg.forDataSci.(Python)|Cihan Topal|Final Sınavı|Ayazağa/Bilgisayar ve Bilişim Binası-121|Çarşamba|12:00-14:00|20 Ağustos 2025|YZV
30327|JEO|406E|Fossil Fuels Geology|Sedat İnan|Final Sınavı|Ayazağa/Maden Binası-A203|Pazartesi|15:00-17:00|18 Ağustos 2025|JEO
30328|YZV|201E|Data Structures|Berna Kiraz|Final Sınavı|Ayazağa/Bilgisayar ve Bilişim Binası-121|Pazartesi|09:00-11:00|18 Ağustos 2025|YZV
30329|EKO|201E|Economics|Ayşegül Kayaoğlu Yılmaz|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A11, Ayazağa/Merkezi Derslik Binası-A12, Ayazağa/Merkezi Derslik Binası-A13, Ayazağa/Merkezi Derslik Binası-A14, Ayazağa/Merkezi Derslik Binası-A15, Ayazağa/Merkezi Derslik Binası-A16|Perşembe|12:00-14:00|21 Ağustos 2025|EKO
30332|INS|232E|Surveying|Mert Bezcioğlu|Final Sınavı|Ayazağa/İnşaat Binası-B101|Pazar|12:00-14:00|17 Ağustos 2025|INS
30333|ATA|121|Atatürk İlk & İnkılap Trh I|Ebubekir Ceylan|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A16|Perşembe|09:00-11:00|21 Ağustos 2025|ATA
30334|GEO|216E|Computer Aided Map Design|Mehmet Ufuk Özerman|Final Sınavı|Ayazağa/İnşaat Binası-B305|Pazartesi|12:00-14:00|18 Ağustos 2025|GEO
30337|INS|360|Hidrolik|Necati Erdem Ünal|Final Sınavı|Ayazağa/İnşaat Binası-A104|Salı|12:00-14:00|19 Ağustos 2025|INS
30338|INS|360|Hidrolik|Necati Erdem Ünal|Final Sınavı|Ayazağa/İnşaat Binası-A204|Salı|12:00-14:00|19 Ağustos 2025|INS
30339|AKM|204|Akışkanlar Mekaniği|Necati Erdem Ünal|Final Sınavı|Ayazağa/İnşaat Binası-B103|Çarşamba|09:00-11:00|20 Ağustos 2025|AKM
30340|AKM|204|Akışkanlar Mekaniği|Necati Erdem Ünal|Final Sınavı|Ayazağa/İnşaat Binası-B101|Çarşamba|09:00-11:00|20 Ağustos 2025|AKM
30341|ELK|343|Elektromekanik Enerji Dönüşümü|Murat İmeryüz|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-2102|Pazartesi|09:00-11:00|18 Ağustos 2025|ELK
30342|MAT|210E|Engineering Mathematics|Kürşat Hasözdemir|Final Sınavı|Ayazağa/Maden Binası-A102, Ayazağa/Maden Binası-A103|Perşembe|09:00-11:00|21 Ağustos 2025|MAT
30343|GEO|220E|Mathematics for Geomatics Eng.|Mehmet Ufuk Özerman|Final Sınavı|Ayazağa/İnşaat Binası-B101, Ayazağa/İnşaat Binası-B103|Çarşamba|15:00-17:00|20 Ağustos 2025|GEO
30344|ITB|207|Osmanlı Tarihi|Cüneyd Okay|Final Sınavı|Taşkışla/Mimarlık Binası-106|Cuma|15:00-17:00|22 Ağustos 2025|ITB
30345|ITB|207|Osmanlı Tarihi|Cüneyd Okay|Final Sınavı|Taşkışla/Mimarlık Binası-107|Cuma|15:00-17:00|22 Ağustos 2025|ITB
30346|ITB|218|Bilim ve Teknoloji Tarihi|Aytekin Çökelez|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D202|Çarşamba|09:00-11:00|20 Ağustos 2025|ITB
30347|ITB|218|Bilim ve Teknoloji Tarihi|Aytekin Çökelez|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D203|Çarşamba|09:00-11:00|20 Ağustos 2025|ITB
30348|ITB|218|Bilim ve Teknoloji Tarihi|Aytekin Çökelez|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D104|Çarşamba|09:00-11:00|20 Ağustos 2025|ITB
30349|ITB|218|Bilim ve Teknoloji Tarihi|Aytekin Çökelez|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D204|Çarşamba|09:00-11:00|20 Ağustos 2025|ITB
30350|ITB|218|Bilim ve Teknoloji Tarihi|Aytekin Çökelez|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D102|Çarşamba|09:00-11:00|20 Ağustos 2025|ITB
30351|ITB|222E|City and Society|Çiğdem Özkan Aygün|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A13|Çarşamba|12:00-14:00|20 Ağustos 2025|ITB
30352|ITB|222E|City and Society|Çiğdem Özkan Aygün|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A14|Çarşamba|12:00-14:00|20 Ağustos 2025|ITB
30353|ITB|222|Kent ve Toplum|Çiğdem Özkan Aygün|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A12|Çarşamba|12:00-14:00|20 Ağustos 2025|ITB
30354|GEO|103E|Fundamentals of Surveying|Mert Bezcioğlu|Final Sınavı|Ayazağa/İnşaat Binası-B305|Pazar|15:00-17:00|17 Ağustos 2025|GEO
30355|MAD|446E|Computer Aided Mine Design|Kürşat Hasözdemir|Final Sınavı|Ayazağa/Maden Binası-A203|Salı|12:00-14:00|19 Ağustos 2025|MAD
30356|GEM|325|Gemi Yapı Elemanları|İsmail Bayer|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10, Ayazağa/Merkezi Derslik C Binası-2D18|Çarşamba|15:00-17:00|20 Ağustos 2025|GEM
30357|MUK|203|Mukavemet I|Oktay Eren Türeyen|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-3D20|Perşembe|15:00-17:00|21 Ağustos 2025|MUK
30358|MUK|204|Mukavemet II|Oktay Eren Türeyen|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10|Perşembe|12:00-14:00|21 Ağustos 2025|MUK
30359|DEN|339|Deniz Kirliliği|Oktay Eren Türeyen|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-3D20|Cuma|09:00-11:00|22 Ağustos 2025|DEN
30361|TER|201|Termodinamik|Halil Saraçoğlu|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-2D18|Salı|15:00-17:00|19 Ağustos 2025|TER
30363|TER|201E|Thermodynamics|Halil Saraçoğlu|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10|Salı|15:00-17:00|19 Ağustos 2025|TER
30364|KIM|101|Genel Kimya I|Muhammet Übeydullah Kahveci|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A32|Pazar|09:00-11:00|17 Ağustos 2025|KIM
30365|KIM|101E|General Chemistry I|Muhammet Übeydullah Kahveci|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A33|Pazar|09:00-11:00|17 Ağustos 2025|KIM
30367|SNT|103|Desen|Mehmet Güler|Final Sınavı|Taşkışla/Mimarlık Binası-213|Pazartesi|12:00-14:00|18 Ağustos 2025|SNT
30368|SNT|103|Desen|Mehmet Güler|Final Sınavı|Taşkışla/Mimarlık Binası-106|Pazartesi|12:00-14:00|18 Ağustos 2025|SNT
30369|SNT|103|Desen|Ceylan Pınar Genç|Final Sınavı|Taşkışla/Mimarlık Binası-216|Pazartesi|12:00-14:00|18 Ağustos 2025|SNT
30370|SNT|103|Desen|Ceylan Pınar Genç|Final Sınavı|Taşkışla/Mimarlık Binası-107|Pazartesi|12:00-14:00|18 Ağustos 2025|SNT
30371|SNT|104|Mitoloji ve Sanat|Yasemin Dora|Final Sınavı|Ayazağa/Merkezi Derslik Binası-B35|Cuma|15:00-17:00|22 Ağustos 2025|SNT
30372|SNT|105E|Film Art|Kağan Demirdöven|Final Sınavı|Ayazağa/Maden Binası-A101|Pazartesi|09:00-11:00|18 Ağustos 2025|SNT
30373|SNT|106|Geleneks. Türk El Sanatları|Ayşe Yivlik Neftçi|Final Sınavı|Taşkışla/Mimarlık Binası-213|Cuma|09:00-11:00|22 Ağustos 2025|SNT
30374|SNT|107|İlkçağ Anadolu Uygarlıkları|Ayşe Yivlik Neftçi|Final Sınavı|Taşkışla/Mimarlık Binası-106|Çarşamba|09:00-11:00|20 Ağustos 2025|SNT
30375|SNT|112|Tiyatro|Yeliz Şatıroğlu|Final Sınavı|Ayazağa/Merkezi Derslik Binası-B35|Pazartesi|12:00-14:00|18 Ağustos 2025|SNT
30376|SNT|112|Tiyatro|Yeliz Şatıroğlu|Final Sınavı|Ayazağa/Merkezi Derslik Binası-B36|Pazartesi|12:00-14:00|18 Ağustos 2025|SNT
30377|SNT|113|Sanat ve Yorum|Ferhan Gözgü|Final Sınavı|Taşkışla/Mimarlık Binası-106|Cuma|09:00-11:00|22 Ağustos 2025|SNT
30378|SNT|113|Sanat ve Yorum|Ferhan Gözgü|Final Sınavı|Taşkışla/Mimarlık Binası-216|Cuma|09:00-11:00|22 Ağustos 2025|SNT
30379|SNT|114E|Contemporary Art|Şafak Tuba Çatalbaş Miharbi|Final Sınavı|Taşkışla/Mimarlık Binası-107|Cuma|09:00-11:00|22 Ağustos 2025|SNT
30380|SNT|115|Modernite ve Görsel Kültür|Yasemin Dora|Final Sınavı|Ayazağa/Merkezi Derslik Binası-B35|Perşembe|09:00-11:00|21 Ağustos 2025|SNT
30381|SNT|211|İstanbul:Tarih,Sanat ve Toplum|Çiğdem Özkan Aygün|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A13|Pazar|12:00-14:00|17 Ağustos 2025|SNT
30382|SNT|211E|Istanbul:Hist.,Art and Society|Çiğdem Özkan Aygün|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A12|Pazar|12:00-14:00|17 Ağustos 2025|SNT
30383|SNT|211E|Istanbul:Hist.,Art and Society|Pınar Erkan Bursa|Final Sınavı|Gümüşsuyu/Makina Binası-A101|Pazar|12:00-14:00|17 Ağustos 2025|SNT
30384|GEO|109E|Analy. Geom. and Vect. Algeb.|Mert Bezcioğlu|Final Sınavı|Ayazağa/İnşaat Binası-A101|Pazar|09:00-11:00|17 Ağustos 2025|GEO
30385|GMI|301E|Maritime Law|Nuri Koray Kurun|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Salı|09:00-11:00|19 Ağustos 2025|GMI
30386|GMI|352E|Heat Transfer|Yalçın Durmuşoğlu|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Salı|15:00-17:00|19 Ağustos 2025|GMI
30387|GMI|471E|Refrigeration and HVAC Systems|Yasin Arslanoğlu|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Cuma|09:00-11:00|22 Ağustos 2025|GMI
30388|MAT|210E|Engineering Mathematics|Bayram Barış Kızılsaç|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Perşembe|09:00-11:00|21 Ağustos 2025|MAT
30389|UUM|536|Kısmi Diferansiyel Denklemler|İbrahim Özkol|Final Sınavı|İlgili Bölümce Açıklanacak|Çarşamba|09:00-11:00|20 Ağustos 2025|UUM
30390|ITB|214E|The Modern Middle East|Umut Uzer|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D304|Çarşamba|09:00-11:00|20 Ağustos 2025|ITB
30391|ITB|214E|The Modern Middle East|Umut Uzer|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D103|Çarşamba|09:00-11:00|20 Ağustos 2025|ITB
30392|JEO|473|Mühendislik Jeolojisi|Yılmaz Mahmutoğlu|Final Sınavı|Ayazağa/Maden Binası-A204|Çarşamba|15:00-17:00|20 Ağustos 2025|JEO
30393|EEF|262E|Fundamentals of Electronics|Mustafa Altun|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-2102, Ayazağa/Elektrik-Elektronik Binası-2104, Ayazağa/Elektrik-Elektronik Binası-2106|Cuma|09:00-11:00|22 Ağustos 2025|EEF
30394|JEO|411E|Tectonics|Şule Gürboğa|Final Sınavı|Ayazağa/Maden Binası-A203|Cuma|15:00-17:00|22 Ağustos 2025|JEO
30395|MAK|205|Mukavemet I|Adil Yücel|Final Sınavı|Gümüşsuyu/Makina Binası-A101, Gümüşsuyu/Makina Binası-A201|Salı|12:00-14:00|19 Ağustos 2025|MAK
30396|MAK|219|Mukavemet I|Adil Yücel|Final Sınavı|Gümüşsuyu/Makina Binası-A363|Salı|12:00-14:00|19 Ağustos 2025|MAK
30397|MAK|206|Mukavemet II|Adil Yücel|Final Sınavı|Gümüşsuyu/Makina Binası-D318|Pazar|12:00-14:00|17 Ağustos 2025|MAK
30398|MAK|220|Mukavemet II|Adil Yücel|Final Sınavı|Gümüşsuyu/Makina Binası-D317|Pazar|12:00-14:00|17 Ağustos 2025|MAK
30399|MEK|205E|Engineering Mechanics|Hacı Abdullah Taşdemir|Final Sınavı|Gümüşsuyu/Makina Binası-A101|Cuma|09:00-11:00|22 Ağustos 2025|MEK
30400|MEK|205|Mühendislik Mekaniği|Hacı Abdullah Taşdemir|Final Sınavı|Gümüşsuyu/Makina Binası-D359|Cuma|09:00-11:00|22 Ağustos 2025|MEK
30401|MAK|228|Akışkanlar Mekaniği I|Sertaç Çadırcı|Final Sınavı|Gümüşsuyu/Makina Binası-A501, Gümüşsuyu/Makina Binası-D318|Salı|12:00-14:00|19 Ağustos 2025|MAK
30402|MAK|234|Akışkanlar Mekaniği I|Sertaç Çadırcı|Final Sınavı|Gümüşsuyu/Makina Binası-D317|Salı|12:00-14:00|19 Ağustos 2025|MAK
30403|MAK|229|Akışkanlar Mekaniği II|Hasan Güneş|Final Sınavı|Gümüşsuyu/Makina Binası-D317|Pazartesi|15:00-17:00|18 Ağustos 2025|MAK
30405|MAK|215|Termodinamik I|Bayram Şahin|Final Sınavı|Gümüşsuyu/Makina Binası-A201|Perşembe|15:00-17:00|21 Ağustos 2025|MAK
30406|MAK|231|Termodinamik I|Bayram Şahin|Final Sınavı|Gümüşsuyu/Makina Binası-A501|Perşembe|15:00-17:00|21 Ağustos 2025|MAK
30407|MAK|313|Isı Geçişi|Ersin Sayar|Final Sınavı|Gümüşsuyu/Makina Binası-D318|Salı|15:00-17:00|19 Ağustos 2025|MAK
30409|CIE|439|Transportation Systems|Kemal Selçuk Öğüt|Final Sınavı|Ayazağa/İnşaat Binası-A1|Pazartesi|15:00-17:00|18 Ağustos 2025|CIE
30411|ELK|322E|Power Transmission Systems|Mustafa Bağrıyanık|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-4102|Salı|15:00-17:00|19 Ağustos 2025|ELK
30412|EEF|206E|Signal Processing&Linear Syst.|Mehmet Can|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-2102, Ayazağa/Elektrik-Elektronik Binası-2104, Ayazağa/Elektrik-Elektronik Binası-2106|Salı|12:00-14:00|19 Ağustos 2025|EEF
30413|TUR|121|Türk Dili I|Ömer Tacir|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A31|Salı|15:00-17:00|19 Ağustos 2025|TUR
30414|TUR|122|Türk Dili II|Ömer Tacir|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A31|Salı|09:00-11:00|19 Ağustos 2025|TUR
30415|TUR|122|Türk Dili II|Ömer Tacir|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A32|Salı|09:00-11:00|19 Ağustos 2025|TUR
30416|LEE|904E|Directed Studies|Birgül Benli|Final Sınavı|Ayazağa/Maden Binası-İlgili Bölümce Açıklanacak|Pazartesi|09:00-11:00|18 Ağustos 2025|LEE
30417|MUK|204E|Strength of Materials II|Oktay Eren Türeyen|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D3|Perşembe|12:00-14:00|21 Ağustos 2025|MUK
30418|GMI|132E|Numerical Analy. of Eng.Syst.|Ata Bilgili|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Çarşamba|12:00-14:00|20 Ağustos 2025|GMI
30420|INS|302E|Highway Engineering|Kemal Selçuk Öğüt|Final Sınavı|Ayazağa/İnşaat Binası-A101|Pazartesi|09:00-11:00|18 Ağustos 2025|INS
30422|DEN|340E|Hydrostatics of Marine Vehic.|Erdem Üçer|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-ZA1|Çarşamba|12:00-14:00|20 Ağustos 2025|DEN
30424|ITB|203|Sosyoloji|Nurullah Ardıç|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D103|Cuma|09:00-11:00|22 Ağustos 2025|ITB
30425|INS|354E|Hydrology|Yavuz Selim Güçlü|Final Sınavı|Ayazağa/İnşaat Binası-A101|Cuma|09:00-11:00|22 Ağustos 2025|INS
30426|CIE|344|Hydraulics and Hydrology|Yavuz Selim Güçlü|Final Sınavı|Ayazağa/İnşaat Binası-A1|Perşembe|09:00-11:00|21 Ağustos 2025|CIE
30427|DUI|213E|Ship Constrct.and Stability|Emre Kahramanoğlu|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Cuma|09:00-11:00|22 Ağustos 2025|DUI
30428|DUI|208E|Cargo&Crew Safety|Cenk Ay|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Salı|15:00-17:00|19 Ağustos 2025|DUI
30432|BLG|252E|Object Oriented Programming|Yusuf Hüseyin Şahin|Final Sınavı|Ayazağa/Bilgisayar ve Bilişim Binası-İlgili Bölümce Açıklanacak|Cuma|15:00-17:00|22 Ağustos 2025|BLG
30434|MAK|226|Termodinamik II|Ersin Sayar|Final Sınavı|Gümüşsuyu/Makina Binası-A501, Gümüşsuyu/Makina Binası-D318|Pazartesi|09:00-11:00|18 Ağustos 2025|MAK
30435|MAK|232|Termodinamik II|Ersin Sayar|Final Sınavı|Gümüşsuyu/Makina Binası-D331|Pazartesi|09:00-11:00|18 Ağustos 2025|MAK
30436|MAK|324|Makina Teorisi|Osman Taha Şen|Final Sınavı|Gümüşsuyu/Makina Binası-A363|Pazartesi|12:00-14:00|18 Ağustos 2025|MAK
30438|MAK|315|Mekanik Titreşimler|Akif Yavuz|Final Sınavı|Gümüşsuyu/Makina Binası-A501, Gümüşsuyu/Makina Binası-D318|Perşembe|09:00-11:00|21 Ağustos 2025|MAK
30440|MAK|213|Malzeme Bilimi|Raşid Ahmed Yıldız|Final Sınavı|Gümüşsuyu/Makina Binası-D318|Çarşamba|09:00-11:00|20 Ağustos 2025|MAK
30441|MAK|223|Malzeme Bilimi|Raşid Ahmed Yıldız|Final Sınavı|Gümüşsuyu/Makina Binası-D450|Çarşamba|09:00-11:00|20 Ağustos 2025|MAK
30442|MAK|339|Makina Elemanları I|Ali İmre Aydeniz|Final Sınavı|Gümüşsuyu/Makina Binası-A501|Çarşamba|12:00-14:00|20 Ağustos 2025|MAK
30445|FIZ|101E|Physics I|Sevtap Yıldız Özbek|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D103|Pazartesi|09:00-11:00|18 Ağustos 2025|FIZ
30447|INS|360E|Hydraulics|Mehmet Melih Koşucu|Final Sınavı|Ayazağa/İnşaat Binası-A102|Salı|12:00-14:00|19 Ağustos 2025|INS
30449|DFH|282E|Fluid Mechanics|Pelin Bolat|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Salı|12:00-14:00|19 Ağustos 2025|DFH
30450|INS|218E|Strength of Materials II|Sedat Kömürcü|Final Sınavı|Ayazağa/İnşaat Binası-B101, Ayazağa/İnşaat Binası-B103|Cuma|15:00-17:00|22 Ağustos 2025|INS
30452|MAK|210E|Engineering Mathematics|Hakan Öksüzoğlu|Final Sınavı|Gümüşsuyu/Makina Binası-D318|Salı|09:00-11:00|19 Ağustos 2025|MAK
30453|MAK|201E|Engineering Mathematics|Hakan Öksüzoğlu|Final Sınavı|Gümüşsuyu/Makina Binası-D317|Salı|09:00-11:00|19 Ağustos 2025|MAK
30454|MAK|202E|Numerical Meth.for Mech. Eng.|Bülent Bölat|Final Sınavı|Gümüşsuyu/Makina Binası-D318|Perşembe|12:00-14:00|21 Ağustos 2025|MAK
30456|AKM|204|Akışkanlar Mekaniği|Necati Erdem Ünal|Final Sınavı|Ayazağa/İnşaat Binası-A104|Çarşamba|09:00-11:00|20 Ağustos 2025|AKM
30457|ISE|102|Programming I|Deniz Turgay Altılar|Final Sınavı|Ayazağa/Bilgisayar ve Bilişim Binası-122|Pazartesi|12:00-14:00|18 Ağustos 2025|ISE
30459|FIZ|102E|Physics II|Yağız Morova|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-2102, Ayazağa/Elektrik-Elektronik Binası-2104, Ayazağa/Elektrik-Elektronik Binası-2106|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30460|FIZ|102E|Physics II|Yağız Morova|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-4102, Ayazağa/Elektrik-Elektronik Binası-4104, Ayazağa/Elektrik-Elektronik Binası-5101|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30461|EEF|281E|Linear Algebra & Applications|Semih Beyçimen|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-2102|Çarşamba|09:00-11:00|20 Ağustos 2025|EEF
30462|AKM|204E|Fluid Mechanics|Elif Kartal|Final Sınavı|Ayazağa/Maden Binası-A203|Çarşamba|09:00-11:00|20 Ağustos 2025|AKM
30463|FIZ|101E|Physics I|Sevtap Yıldız Özbek|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D101, Ayazağa/Fen-Edebiyat Binası-D105|Pazartesi|09:00-11:00|18 Ağustos 2025|FIZ
30464|DFH|281E|Marine Environmental Chemistry|Yasin Arslanoğlu|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Pazartesi|09:00-11:00|18 Ağustos 2025|DFH
30465|GEO|302E|Land Management|Mehmet İşiler|Final Sınavı|Ayazağa/İnşaat Binası-A1|Perşembe|15:00-17:00|21 Ağustos 2025|GEO
30466|ATA|102|Atatürk İlk & İnkılap Trh II|Ebubekir Ceylan|Final Sınavı|Ayazağa/Merkezi Derslik Binası-B34|Perşembe|15:00-17:00|21 Ağustos 2025|ATA
