CRN|Course Code|Course Number|Course Name|Academician|Exam Type|Exam Location|Day|Time|Date|Branch Code
30109|TUR|122|Türk Dili II|İnci Pamuk|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A12|Salı|09:00-11:00|19 Ağustos 2025|TUR
30110|TUR|122|Türk Dili II|Timur Aydın|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A13|Salı|09:00-11:00|19 Ağustos 2025|TUR
30111|TUR|122|Türk Dili II|Timur Aydın|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A14|Salı|09:00-11:00|19 Ağustos 2025|TUR
30112|TUR|122|Türk Dili II|Timur Aydın|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A15|Salı|09:00-11:00|19 Ağustos 2025|TUR
30113|KIM|101|Genel Kimya I|Altuğ Mert Sevim|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A11|Pazar|09:00-11:00|17 Ağustos 2025|KIM
30114|KIM|101E|General Chemistry I|Altuğ Mert Sevim|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A12, Ayazağa/Merkezi Derslik Binası-A13|Pazar|09:00-11:00|17 Ağustos 2025|KIM
30115|KIM|101E|General Chemistry I|Argun Talat Gökçeören|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A14, Ayazağa/Merkezi Derslik Binası-A15, Ayazağa/Merkezi Derslik Binası-A16|Pazar|09:00-11:00|17 Ağustos 2025|KIM
30116|KIM|101E|General Chemistry I|Argun Talat Gökçeören|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A31|Pazar|09:00-11:00|17 Ağustos 2025|KIM
30117|KIM|202|Fiziksel Kimya|Erdem Yavuz|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D105|Çarşamba|15:00-17:00|20 Ağustos 2025|KIM
30118|KIM|202E|Physical Chemistry|Erdem Yavuz|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D306|Çarşamba|15:00-17:00|20 Ağustos 2025|KIM
30119|KIM|224E|Inorganic Chemistry II|Altuğ Mert Sevim|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D101|Perşembe|12:00-14:00|21 Ağustos 2025|KIM
30120|KIM|231|Organik Kimya I|Turan Öztürk|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D101|Çarşamba|15:00-17:00|20 Ağustos 2025|KIM
30121|KIM|232|Organik Kimya II|Turan Öztürk|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D306|Pazartesi|12:00-14:00|18 Ağustos 2025|KIM
30123|MAL|201E|Materials Science|Emin Çiftçi|Final Sınavı|Ayazağa/Maden Binası-A203|Perşembe|12:00-14:00|21 Ağustos 2025|MAL
30124|JEO|355E|Sedimentology|Emin Çiftçi|Final Sınavı|Ayazağa/Maden Binası-A203|Çarşamba|12:00-14:00|20 Ağustos 2025|JEO
30125|JEO|112|Genel Jeoloji|Kürşad Kadir Eriş|Final Sınavı|Ayazağa/Maden Binası-A204|Salı|09:00-11:00|19 Ağustos 2025|JEO
30126|JEO|348|Sedimenter Kayaç Petrografisi|Kürşad Kadir Eriş|Final Sınavı|Ayazağa/Maden Binası-A204|Pazartesi|15:00-17:00|18 Ağustos 2025|JEO
30127|JEO|204E|Petrog. of Magmatic Rocks|Şafak Altunkaynak|Final Sınavı|Ayazağa/Maden Binası-A203|Salı|09:00-11:00|19 Ağustos 2025|JEO
30129|MAT|271E|Probability and Statistics|Halil Bayraktar|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D101|Cuma|15:00-17:00|22 Ağustos 2025|MAT
30132|BIO|301E|Fundamentals of Biology|Ece Polat|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D102, Ayazağa/Fen-Edebiyat Binası-D304|Çarşamba|15:00-17:00|20 Ağustos 2025|BIO
